1,0.421,0.407,0.909090909,0.504230769,1,0.0267,0.309,0.000961,0.11,0.168,0.5419,0,0,1
2,0.73,0.77,0.727272727,0.683538462,1,0.0298,0.138,0,0.0473,0.522,0.2579,0.5,0.083333333,1
3,0.609,0.445,0.636363636,0.374692308,1,0.106,0.603,0.00000677,0.104,0.176,0.369941667,0,0,1
4,0.66,0.867,0.545454545,0.747307692,0,0.116,0.11,0,0.0368,0.376,0.158608333,0.5,0.083333333,1
5,0.63,0.625,0.545454545,0.685538462,0,0.0252,0.231,0,0.0765,0.672,0.783316667,0.5,0.083333333,1
6,0.689,0.702,0.545454545,0.642923077,0,0.0261,0.216,0,0.159,0.472,0.208591667,0.5,0.083333333,0
7,0.305,0.341,0.636363636,0.050923077,1,0.0298,0.321,0,0.111,0.435,0.604141667,0.5,0.083333333,0
8,0.871,0.346,0.454545455,0.347615385,1,0.0522,0.298,0.00000924,0.108,0.663,0.300408333,0.5,0.083333333,1
9,0.426,0.584,0.090909091,0.669769231,1,0.296,0.0383,0,0.188,0.255,0.995308333,0.5,0.083333333,0
10,0.704,0.417,0.636363636,0.353076923,1,0.0243,0.187,0.00000213,0.137,0.531,0.15605,0.5,0.083333333,1
11,0.791,0.733,0.545454545,0.675769231,0,0.052,0.147,0.000381,0.0713,0.747,0.3415,0.5,0.083333333,1
12,0.706,0.558,0.181818182,0.520230769,0,0.0593,0.146,0,0.118,0.22,0.303691667,0.5,0.083333333,1
13,0.608,0.174,0.090909091,0.400307692,1,0.0332,0.851,0.0000192,0.0855,0.198,0.318125,0.5,0.083333333,0
14,0.738,0.868,1,0.740538462,0,0.0731,0.0389,0.00171,0.388,0.334,0.400025,0.5,0.083333333,0
15,0.782,0.6,0.636363636,0.574461538,1,0.0416,0.0162,0.00000181,0.108,0.632,0.38375,0.5,0.083333333,1
16,0.728,0.563,0.090909091,0.457461538,0,0.134,0.621,0,0.179,0.35,0.216808333,0.5,0.083333333,1
17,0.565,0.849,0,0.806461538,0,0.0517,0.00868,0.00000468,0.12,0.43,0.233616667,0.5,0.083333333,1
18,0.411,0.512,0.818181818,0.500692308,1,0.027,0.387,0,0.0676,0.0585,0.078325,0.5,0.083333333,1
19,0.599,0.785,0.272727273,0.768230769,1,0.0309,0.448,0.00336,0.151,0.534,0.550383333,0.5,0.083333333,1
20,0.576,0.766,0.909090909,0.696692308,0,0.449,0.028,0.00000168,0.366,0.25,0.590275,0.5,0.083333333,0
21,0.322,0.28,0.545454545,0.356384615,0,0.0281,0.468,0.0000011,0.102,0.164,0.098283333,0.5,0.083333333,1
22,0.774,0.764,0.363636364,0.658076923,0,0.0518,0.156,0,0.0383,0.909,0.374975,0.5,0.083333333,0
23,0.625,0.613,0.545454545,0.615,0,0.173,0.0209,0,0.0286,0.759,0.183616667,0.5,0.083333333,0
24,0.646,0.431,0.545454545,0.421769231,1,0.0262,0.637,0.00000699,0.113,0.298,0.133616667,0.5,0.083333333,1
25,0.589,0.227,0.181818182,0,1,0.0498,0.64,0.00469,0.0248,0.178,0.008275,0.5,0.083333333,1
26,0.642,0.289,0.818181818,0.314,1,0.0367,0.669,0,0.18,0.388,0.091633333,0.5,0.083333333,1
27,0.785,0.674,0.636363636,0.774153846,1,0.043,0.208,0,0.285,0.843,0.267141667,0.5,0.083333333,1
28,0.746,0.922,0.909090909,0.691230769,1,0.236,0.246,0,0.515,0.617,0.108008333,0.5,0.083333333,1
29,0.529,0.496,0.636363636,0.384076923,1,0.029,0.173,0,0.251,0.276,0.523825,0.5,0.083333333,1
30,0.383,0.861,0.363636364,0.860307692,0,0.0777,0.0038,0,0.11,0.481,0.8507,0.5,0.083333333,1
31,0.624,0.953,0.363636364,0.876769231,0,0.104,0.113,0.000128,0.657,0.724,0.633266667,0.5,0.083333333,1
32,0.746,0.873,0.636363636,0.784384615,1,0.128,0.0244,0,0.354,0.808,0.617291667,0.5,0.083333333,1
33,0.636,0.836,0.727272727,0.845846154,1,0.0427,0.00609,0.000157,0.0828,0.723,0.549633333,0.5,0.083333333,0
35,0.453,0.975,0.636363636,0.840461538,1,0.291,0.0518,0.00000157,0.223,0.157,0.459783333,0.5,0.083333333,0
36,0.754,0.933,0,0.631846154,1,0.0448,0.0199,0,0.297,0.735,0.249933333,0.5,0.083333333,0
37,0.733,0.71,0.454545455,0.627,0,0.0292,0.145,0.115,0.0956,0.963,0.449791667,0.5,0.083333333,0
38,0.672,0.738,0,0.535,1,0.0506,0.0178,0.0000675,0.0927,0.401,0.282816667,0.5,0.083333333,1
39,0.378,0.638,0.909090909,0.648,1,0.075,0.02,0.0000766,0.0849,0.762,0.917383333,0.5,0.083333333,1
40,0.862,0.515,0,0.544076923,1,0.0359,0.542,0.000113,0.0987,0.751,0.458791667,0.5,0.083333333,1
41,0.488,0.487,0.363636364,0.586846154,1,0.0307,0.577,0,0.193,0.235,0.027866667,0.5,0.083333333,1
42,0.456,0.67,0.636363636,0.676,1,0.0574,0.588,0,0.116,0.401,0.455266667,0.5,0.083333333,1
43,0.623,0.417,0,0.407769231,1,0.0354,0.296,0,0.135,0.717,0.466933333,0.5,0.083333333,1
44,0.561,0.674,0.090909091,0.446076923,1,0.0436,0.392,0.000176,0.471,0.562,0.283116667,0.5,0.083333333,1
