1,0.421,0.407,0.9091,0.504230769,1,0.0267,0.309,0.000961,0.11,0.168,0.5419,0,0.6667,1,0
2,0.73,0.77,0.7273,0.683538462,1,0.0298,0.138,0,0.0473,0.522,0.2579,0.5,0.6667,0,1
3,0.609,0.445,0.6364,0.374692308,1,0.106,0.603,0.00000677,0.104,0.176,0.369941667,0,0.8333,1,0
4,0.66,0.867,0.5455,0.747307692,0,0.116,0.11,0,0.0368,0.376,0.158608333,0.5,0.5,0,1
5,0.63,0.625,0.5455,0.685538462,0,0.0252,0.231,0,0.0765,0.672,0.783316667,0.5,0.6667,0,1
6,0.689,0.702,0.5455,0.642923077,0,0.0261,0.216,0,0.159,0.472,0.208591667,0.5,0.6667,0,1
7,0.305,0.341,0.6364,0.050923077,1,0.0298,0.321,0,0.111,0.435,0.604141667,0.5,0.6667,0,1
8,0.871,0.346,0.4545,0.347615385,1,0.0522,0.298,0.00000924,0.108,0.663,0.300408333,0.5,0.1667,1,0
9,0.426,0.584,0.0909,0.669769231,1,0.296,0.0383,0,0.188,0.255,0.995308333,0.5,0.8333,0,1
10,0.704,0.417,0.6364,0.353076923,1,0.0243,0.187,0.00000213,0.137,0.531,0.15605,0.5,0.6667,1,0
11,0.791,0.733,0.5455,0.675769231,0,0.052,0.147,0.000381,0.0713,0.747,0.3415,0.5,0.6667,0,1
12,0.706,0.558,0.1818,0.520230769,0,0.0593,0.146,0,0.118,0.22,0.303691667,0.5,0.8333,0,1
13,0.608,0.174,0.0909,0.400307692,1,0.0332,0.851,0.0000192,0.0855,0.198,0.318125,0.5,0.6667,0,1
14,0.738,0.868,1,0.740538462,0,0.0731,0.0389,0.00171,0.388,0.334,0.400025,0.5,0.6667,0,1
15,0.782,0.6,0.6364,0.574461538,1,0.0416,0.0162,0.00000181,0.108,0.632,0.38375,0.5,0.6667,1,0
16,0.728,0.563,0.0909,0.457461538,0,0.134,0.621,0,0.179,0.35,0.216808333,0.5,0.6667,1,0
17,0.565,0.849,0,0.806461538,0,0.0517,0.00868,0.00000468,0.12,0.43,0.233616667,0.5,0.3333,0,1
18,0.411,0.512,0.8182,0.500692308,1,0.027,0.387,0,0.0676,0.0585,0.078325,0.5,0.1667,0,1
19,0.599,0.785,0.2727,0.768230769,1,0.0309,0.448,0.00336,0.151,0.534,0.550383333,0.5,0.6667,0,1
